#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"Videos";"Vídeos"
"video";"vídeo";"vídeos"
"Post New Video";"Publicar nuevo vídeo"
"Videos using the tag";"Vídeos que usan la etiqueta"
"By";"Por"
"View All Videos";"Visionar todos los vídeos"
"Browse Videos";"Listar Vídeos"
"My Videos";"Mis Vídeos"
"%s view";"%s visionado";"%s visionados"
"%s comment";"%s comentario";"%s comentarios"
"%s like";"%s recomendación";"%s recomendaciones"
"%s rating";"%s puntuación";"%s puntuaciones"
"ADMIN_ACTIVITY_TYPE_VIDEO_NEW";"Cuando se publique un nuevo vídeo"
"ADMIN_ACTIVITY_TYPE_LIKE_VIDEO";"Cuando alguien recomiende uno de mis vídeos"
"ADMIN_ACTIVITY_TYPE_LIKED_VIDEO";"Cuando alguien comente sobre un vídeo que recomendé"
"ADMIN_ACTIVITY_TYPE_COMMENT_VIDEO";"Cuando alguien comente sobre uno de mis vídeos"
"ADMIN_ACTIVITY_TYPE_COMMENTED_VIDEO";"Cuando alguien comente sobre un vídeo que yo comenté"
"ADMIN_ACTIVITY_TYPE_VIDEO_PROCESSED";"Cuando un vídeo ha sido procesado"
"_ACTIVITY_ACTIONTYPE_VIDEO_NEW";"Nuevos vídeos"
"_ACTIVITY_ACTIONTYPE_COMMENT_VIDEO";"Comentarios a tus vídeos"
"ACTIVITY_TYPE_LIKE_VIDEO";"Cuando alguien recomiende uno de mis vídeos."
"ACTIVITY_TYPE_LIKED_VIDEO";"Cuando alguien comente un video que recomendé."
"ACTIVITY_TYPE_COMMENT_VIDEO";"Cuando alguien comente uno de mis vídeos."
"ACTIVITY_TYPE_COMMENTED_VIDEO";"Cuando alguien comente sobre un vídeo al que hice un comentario."
"ACTIVITY_TYPE_VIDEO_PROCESSED";"Cuando un vídeo se ha procesado."
"ACTIVITY_TYPE_VIDEO_NEW";"Cuando se publique un nuevo vídeo."
"Nobody has posted a video with that criteria.";"Nadie ha publicado un vídeo con ese criterio"
"Nobody has created a video yet.";"Nadie ha creado un vídeo todavía"
"You have already uploaded the maximum number of videos allowed. If you would like to upload a new video, please delete an old one first.";"Ya ha subido el máximo de vídeos establecido. Si desea subir uno nuevo póngase en contacto con el Administrador"
"Your video is in queue to be processed - you will be notified when it is ready to be viewed.";"Su vídeo está en lista de espera para ser procesado - se le notificará cuando esté listo para ser visionado"
"Your video is currently being processed - you will be notified when it is ready to be viewed.";"Su vídeo se está procesando en este momento - se le notificará cuando esté listo para ser visionado"
"Video conversion failed. Please try uploading %1$sagain%2$s.";"Ha fallado la conversión de vídeo. Intente subirlo %1$sde nuevo%2$s."
"Video conversion failed. Video format is not supported by FFMPEG. Please try %1$sagain%2$s.";"Ha fallado la conversión del vídeo. El formato no está soportado por FFMPEG. Inténtelo %1$sde nuevo%2$s."
"Video conversion failed. Audio files are not supported. Please try %1$sagain%2$s.";"Ha fallado la conversión del vídeo. Los ficheros de audio no los soporta esta versión. Inténtelo %1$sde nuevo%2$s."
"Video conversion failed. You may be over the site upload limit.  Try %1$suploading%2$s a smaller file, or delete some files to free up space.";"Ha fallado la conversión del vídeo. Puede que se encuentre por encima del límite de subida de ficheros de la Red Social. Intente %1$ssubir%2$s un fichero de menor tamaño, póngase en contacto con el administrador de la Red Social o borre archivos para liberar espacio."
"You do not have any videos.";"No tiene vídeos"
"The video you are looking for does not exist or has not been processed yet.";"El vídeo que está buscando no existe o no ha sido procesado aún."
"you already rated";"ya lo ha puntuado"
"please login to rate";"por favor, inicie sesión para poder puntuar"
"click to rate";"pulsar para puntuar"
"Thanks for rating!";"¡Gracias por puntuar!"
"Posted";"Publicado"
"Filed in";"Archivado en"
"Edit Video";"Editar vídeo"
"Delete Video";"Borrar vídeo"
"File Upload";"Subida de archivos"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"Este formulario es sólo un ejemplo del comportamiento de ""FancyUpload"". Si esta parte no se modifica significa que algo no está bien configurado en su código."
"Upload a Video:";"Subir un vídeo"
"Click ""Add Video"" to select a video from your computer. After you have selected video, click on Post Video at the bottom to begin uploading the file. Please wait while your video is being uploaded. When your upload is finished, your video will be processed - you will be notified when it is ready to be viewed.";"Pulse en ""Añadir vídeo"" para seleccionar un vídeo desde su ordenador. Después de haber seleccionado el vídeo, pulse en Publicar vídeo en la parte inferior para comenzar con el envío del fichero. Por favor, espere mientras el vídeo se sube completamente. Una vez ha sido subido, se procesará - será informado cuando esté listo para su visionado"
"Add Video";"Añadir vídeo"
"Post Video";"Publicar vídeo"
"Be the first to %1$spost%2$s one!";"¡sea el primero en %1$ssubir%2$s uno!"
"Get started by %1$sposting%2$s a new video.";"Comience %1$ssubiendo%2$s un nuevo vídeo."
"Choose Source";"Elegir origen"
"My Computer";"Mi ordenador"
"Added";"Añadido"
"Are you sure you want to delete this video?";"¿Está seguro de querer borrar este vídeo?"
"Video Title";"Título del Vídeo"
"Video Description";"descripción del Vídeo"
