
"<?php die(""Access Denied"");?>;"
463:=براي راهنمايي هاي بيشتر دستورالعمل لازم را از <a href='javascript:urlhelp();'>اينجا</a>دريافت كنيد."
966:=کدهای CSS شخصی خود را در زیر وارد کنید تا صفحه پروفایلتان کاملا سفارشی شود.<br>در فیلد زیر از تمامی کدهایی که بین تگ های  &lt;style&gt;
1207:=بازدید #%1$d of %2$d <a href='%3$s'>تصاویر از %4$s</a> &nbsp;|&nbsp;<a href='%5$s'> بازگشت به%4$s's Profile</a>

"_SITE_TITLE";"Tarfee"
"Home";"Início"
"Members";"Membros "
"Layout";"Layout"
"Stats";"Estatísticas"
"Ads";"Anúncios"
"Plugins";"Plugins"
"Settings";"Configurações"
"Manage";"Gerenciar"
"Menu Editor";"Menu Editor"
"Language Manager";"Gerenciador de Língua"
"File & Media Manager";"Gerenciador de Arquivos e Mídia"
"Theme Editor";"Tema Editor"
"Layout Editor";"Editor de Layout"
"Log Browser";"Log Browser"
"Server Information";"Information Server"
"Referring URLs";"Referindo-se URLs"
"Site-wide Statistics";"Estatísticas do site"
"Create New Campaign";"Criar nova campanha"
"Manage Ad Campaigns";"Gerenciar campanhas de anúncios"
"Performance & Caching";"Performance e Cache"
"System Emails";"Sistema de e-mails"
"Friendship Settings";"Amizade Configurações"
"Spam & Banning Tools";"Spam e Ferramentas Banning"
"Activity Feed Settings";"Feed Settings Atividade"
"Signup Process";"Processo de inscrição"
"Profile Questions";"Perguntas perfil"
"Locale Settings";"Localidade Configurações"
"Abuse Reports";"Relatório de Abuso"
"Announcements";"Anúncios"
"Networks";"Redes"
"Member Levels";"Níveis de membros"
"Save Changes";"Salvar alterações"
"Contact Us";"Fale Conosco"
"An error occurred:";"Ocorreu um erro:"
"Privacy Statement";"Política de Privacidade"
"Terms of Service";"Termos de Serviço"
"Browse By";"Procurar por"
"Most Recent";"Mais Recentes"
"Most Popular";"Mais Populares"
"Delete";"Excluir"
"or";"ou "
"or ";"ou "
"cancel";"cancelar"
"Cancel";"Cancelar"
"Search";"Pesquisa"
